# Program:featureCounts v2.0.1; Command:"/u/home/s/samdemar/tools/Subread/subread-2.0.1-source/bin/featureCounts" "-F" "GFF" "-a" "/u/home/s/samdemar/refrencegenomes/AnnotationFiles/Saccharomyces_cerevisiae.R64-1-1.104.gtf" "-o" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/Counts/counts.txt" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam" "/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_3YP_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam	/u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam
YOR184W	XV	679357	680544	+	1188	19020	22646	19776	19045	18369	17943	24516	19723	19605	20095	19685	22026
YOR150W	XV	611999	612490	+	492	2775	2788	2591	3076	2852	2988	2695	2188	2250	2842	3239	3191
YOR179C	XV	671845	672411	-	567	1247	1136	1008	2125	1949	2204	2268	1904	2152	1086	1035	939
YOR340C	XV	959202	960182	-	981	9449	8547	7902	8373	8900	9366	7228	6490	6650	10953	11166	7498
YOR354C	XV	1001147	1003225	-	2079	4591	4551	4221	5391	4816	5606	6781	5860	5959	3994	3962	4200
YOR217W	XV	749301	751886	+	2586	6228	6142	4982	5636	5739	6109	5134	3683	4204	7243	7287	5836
YOR298W	XV	875599	877038	+	1440	2166	2655	2297	3417	3494	3246	5056	4867	5754	1886	1636	1929
YOL006C	XV	313078	315387	-	2310	6902	6539	6117	6148	6103	6997	6741	5134	4911	5550	5995	4952
YOR259C	XV	812395	813708	-	1314	15916	15421	15285	15870	15282	16692	18620	15993	16237	11781	12791	13663
YOR318C	XV;XV	911784;912433	912085;912436	-;-	306	338	307	313	873	906	779	1713	1414	1475	190	196	178
YOR320C	XV	913619	915094	-	1476	6441	6493	6151	7772	7885	8032	9044	7076	7366	5611	5750	5512
YOR222W	XV	758330	759253	+	924	10412	11043	10525	11228	10231	11101	24278	20218	21450	4512	4810	4689
YOL165C	XV	1647	2078	-	432	58	43	62	910	693	874	839	641	649	14	28	21
YOL007C	XV	311342	312367	-	1026	1476	1408	1220	3138	3120	3372	3109	2240	2392	2226	2029	1664
YOR307C	XV	892731	894092	-	1362	2817	2823	2758	3174	2899	3193	3374	2835	3004	3543	3430	2820
YOL051W	XV	234940	238185	+	3246	4604	4143	3900	3828	3951	4196	4351	3186	3168	5468	5137	3918
YOR091W	XV	493433	494470	+	1038	6703	6452	5774	7432	7667	8808	7708	6384	6384	8176	8813	6000
YOR079C	XV	473475	474416	-	942	1413	1530	1463	1824	1696	1731	1656	1271	1398	1849	1761	1725
YOL022C	XV	280272	281498	-	1227	7982	7886	6749	7545	7432	8077	7964	6808	7056	7478	8359	6357
YOR278W	XV	842817	843644	+	828	1682	1777	1642	3224	2958	3111	3461	2751	3071	1251	1317	1289
YOR024W	XV	377847	378170	+	324	16	10	16	11	22	11	30	29	38	19	13	14
YOL148C	XV	45760	47574	-	1815	3055	2939	3018	2759	2731	2928	3334	2552	2783	2664	2844	2712
YOL078W	XV	181682	185212	+	3531	3547	3370	3032	2997	2888	3544	3052	2497	2520	3362	3551	3164
tP(UGG)O3	XV;XV	980683;980752	980718;980787	+;+	72	24	29	32	25	8	5	10	30	15	12	12	12
YOR089C	XV	490196	490828	-	633	7136	6750	6199	7063	7033	7487	7814	6290	6675	5365	6261	6156
YOL098C	XV	132725	135838	-	3114	18184	18702	16811	17864	18933	19269	20348	16279	17378	19058	18933	17030
YOR171C	XV	652010	653884	-	1875	4074	3729	3790	3622	3746	3983	3642	3080	3117	3657	3823	3361
YOL089C	XV	150398	153490	-	3093	2845	2840	2794	3215	3057	3063	3245	2267	2194	2490	2493	2497
YOL150C	XV	44473	44784	-	312	0	0	1	0	0	0	0	0	0	0	0	0
YOR095C	XV	503552	504328	-	777	6233	5979	5526	6995	7705	8035	6997	6138	6536	8242	8951	5657
YOL146W	XV	48864	49448	+	585	1812	1861	1727	2165	2124	2223	2986	2439	2589	1584	1624	1616
YOR224C	XV	760825	761265	-	441	7824	8539	7260	8802	8205	8806	7688	7053	7220	10884	11616	9336
YOR302W	XV	882765	882842	+	78	193	187	143	2510	1818	2308	3994	2082	1721	156	163	140
YOR286W	XV	850280	850729	+	450	3852	4166	3606	4425	3819	4476	4522	3719	3829	4395	4687	5087
YOR046C	XV	414459	415907	-	1449	14200	14323	13032	12744	13187	13761	12976	11192	12267	15544	16626	13902
tG(CCC)O	XV	594354	594425	-	72	8	7	6	2	4	10	13	3	7	0	5	6
YOR388C	XV	1071793	1072923	-	1131	61	69	56	254	183	284	526	366	329	60	45	32
YOR228C	XV	766869	767777	-	909	1191	1119	1207	1447	1397	1488	1648	1392	1435	938	919	1077
YOL112W	XV	106710	108188	+	1479	3176	3190	2656	7703	7349	7639	7080	5845	6003	3152	3180	3425
YOR141C	XV	589942	592587	-	2646	6764	6271	5918	5724	6069	6210	6269	4719	5045	5298	5760	4834
YOL131W	XV	73031	73357	+	327	455	369	339	72	71	101	725	592	763	44	55	54
YOR049C	XV	422668	423732	-	1065	1024	1172	840	5121	4644	4734	4825	3868	4185	1179	1235	1627
YOL143C	XV	54595	55104	-	510	9363	9334	8548	15920	21613	18922	15095	12024	13607	9798	10258	9966
YOR172W	XV	654210	656570	+	2361	4385	4562	4096	5936	5356	5901	6292	5119	5132	4336	4420	4196
YOR149C	XV	609838	611388	-	1551	2250	2278	2094	3905	3441	3879	4015	3252	3501	2074	2187	1935
YOL164W	XV	6175	8115	+	1941	2254	1976	1838	9448	8852	9810	11187	9110	9573	1563	1772	1484
YOR011W	XV	349679	353863	+	4185	3341	3300	3156	7549	6934	7527	10325	8329	8201	4173	4332	3690
YOR071C	XV	459480	461276	-	1797	1252	1235	1029	5435	5597	5947	3155	2358	2675	1768	1897	1544
YOR022C	XV	373710	375857	-	2148	1749	1641	1432	3008	3023	3165	4190	3280	3642	1272	1216	1486
YOR125C	XV	559030	559731	-	702	2215	2236	1984	2532	2138	2437	2390	2256	2439	2593	2818	2777
YOL141W	XV	56452	58539	+	2088	1565	1251	1233	3207	3126	3545	3053	2456	2992	1839	2017	1087
YOR101W	XV	515244	516173	+	930	3993	3655	3299	4157	4437	4419	3397	3354	3423	6872	7584	4517
YOR263C	XV	818757	819164	-	408	21	19	16	126	173	131	121	72	97	25	26	26
YOR383C	XV	1060441	1061055	-	615	3573	6026	5005	2814	3185	3249	8139	5073	4904	1251	1712	2869
YOR056C	XV	430247	431626	-	1380	6472	5690	5348	6114	6343	7426	5840	4681	4851	7450	8434	4780
YOL075C	XV	189658	193542	-	3885	4517	4206	4182	4036	4050	3983	6941	5814	5732	3393	3438	3069
YOR073W-A	XV	467390	467623	+	234	11	5	5	30	17	28	38	21	51	3	2	2
YOR246C	XV	795801	796793	-	993	7857	7962	7286	13599	13555	13555	13272	11199	11819	8704	9656	7738
YOR042W	XV	408425	409660	+	1236	14967	15741	13788	4177	4084	4539	15982	12913	14981	3645	3698	3964
YOR236W	XV	780906	781541	+	636	2371	2379	2327	2463	2366	2421	2718	2190	2102	2369	2762	2031
YOR183W	XV	678872	679261	+	390	42	28	35	20	36	38	69	65	44	39	24	24
YOR176W	XV	662401	663582	+	1182	10177	9780	8907	9072	9453	9670	9336	7669	8595	8848	9562	8808
YOR238W	XV	783677	784588	+	912	2040	2017	1736	3039	3035	3321	4398	3620	3685	1422	1716	1635
YOR367W	XV	1026007	1026609	+	603	1538	1570	1628	2418	2211	2343	2833	2472	2474	2085	1951	2120
YOR297C	XV	874743	875321	-	579	1198	1130	1247	2236	2161	2551	2665	2174	2257	1166	1443	1047
YOR310C	XV	896825	898360	-	1536	22898	22556	21080	21821	22729	23534	18675	15359	16454	31563	32445	22865
YOR063W	XV	444686	445849	+	1164	290867	311163	280948	283789	300808	296047	298109	255939	277261	359303	360064	308922
YOR189W	XV	689624	689974	+	351	2009	2083	1929	3483	3298	3616	3856	2978	3111	1638	1745	1857
YOL129W	XV	77560	78114	+	555	10686	11659	9858	11174	10067	10928	13347	10789	11415	7693	8676	10640
YOR280C	XV	844992	845792	-	801	2041	2075	1801	2039	2139	1860	2534	2221	2182	1397	1746	1501
YOR037W	XV	401555	402655	+	1101	1557	1532	1417	1973	1668	1917	2048	1770	1958	1181	1243	1365
YOR090C	XV	491123	492841	-	1719	5774	5753	5081	8474	8171	8115	11793	9185	10304	5322	5197	5332
YOR313C	XV	901858	902874	-	1017	188	94	171	1682	1853	1666	1289	1091	1304	142	150	84
YOL032W	XV	265429	266169	+	741	6676	8338	6212	5238	5511	5721	8473	9086	9086	3206	3289	3442
YOR158W	XV	632164	633120	+	957	2573	2453	2285	2724	2499	2845	3739	2828	2806	2245	2373	2662
YOR162C	XV	639560	641992	-	2433	2945	2599	2413	5804	5649	5932	6301	4922	5260	2490	2411	2495
YOL092W	XV	144204	145130	+	927	7423	7340	6285	7745	7868	7948	6801	5793	6522	9427	10114	7534
YOL061W	XV	212244	213734	+	1491	13542	13938	13048	12555	12762	13203	12386	10382	10820	16376	17791	12615
YOR232W	XV	774573	775259	+	687	16572	16776	14931	16310	14828	16815	15780	11875	13062	17988	17907	18134
YOR219C	XV	752214	755009	-	2796	13613	13310	12172	11996	11979	12863	16651	13181	14794	9134	8993	9962
YOR182C	XV;XV	678191;678791	678379;678793	-;-	192	25423	31477	31409	31673	28932	32695	34469	37789	32186	32487	32616	33278
YOL099C	XV	132017	132508	-	492	30	54	21	44	44	41	35	41	32	28	47	38
YOR294W	XV	868340	868951	+	612	7008	6221	6087	5495	5957	6230	4174	3741	3625	8791	10420	5826
YOR288C	XV	852121	853077	-	957	2584	2683	2689	3101	2960	3148	4123	3428	3559	2024	2221	2134
YOR110W	XV	528941	530248	+	1308	3383	3304	3161	2867	2720	3045	3363	2498	2646	2607	2849	2853
YOR040W	XV	407064	407921	+	858	5206	5655	5088	1866	1590	1784	7453	6175	7023	609	723	766
YOL083W	XV	165714	166952	+	1239	365	424	382	1037	861	1007	1000	685	732	258	289	394
YOL136C	XV	67561	68754	-	1194	5749	3802	3684	2868	3401	4492	3254	2112	1998	2892	3748	2117
YOL130W	XV	74400	76979	+	2580	8432	8318	7251	20243	19006	19994	19662	15219	16326	9525	10173	7382
YOL021C	XV	282421	285426	-	3006	13146	12558	11913	11258	11377	11900	10906	8229	8691	14505	15935	10710
YOR282W	XV	847000	847320	+	321	6	8	4	1	7	11	15	12	16	2	1	1
YOL077W-A	XV	185438	185644	+	207	1945	2061	1815	2189	2059	2108	1813	1766	1625	1909	2028	2216
YOR319W	XV	912822	913463	+	642	1087	1088	973	3278	3106	3244	3587	2670	2956	1087	1124	973
YOR030W	XV	386825	388684	+	1860	2814	2896	2329	4139	4274	4531	4019	3266	3914	3314	3151	2984
YOR291W	XV	861175	865593	+	4419	8405	9035	7756	8586	8260	8487	10766	8851	9481	6837	6752	6513
YOL077C	XV	185848	186723	-	876	14282	13448	13022	11607	11387	12563	9303	8242	8996	16920	17601	12226
YOR390W	XV	1076784	1077911	+	1128	1766	1827	1514	1785	1922	1809	2608	2169	2397	1502	1623	1169
YOL052C-A	XV	231570	231755	-	186	1302	1795	1240	839	664	664	1626	1648	1989	147	127	232
YOR123C	XV	553176	554570	-	1395	5141	4886	4401	3921	3867	4346	5214	3983	4006	4278	4195	4145
YOR013W	XV	356751	357221	+	471	522	546	479	489	434	509	768	705	786	309	326	322
YOR249C	XV	798674	800731	-	2058	1773	1805	1664	2872	2679	2983	3039	2537	2785	1899	1686	1707
YOR362C	XV	1017880	1018746	-	867	18395	19219	17738	18084	17350	19095	22268	18482	20078	14432	15395	16073
YOL058W	XV	219211	220473	+	1263	1386	1489	1496	3948	4092	3846	4689	3437	3589	898	840	977
YOR143C	XV	601383	602342	-	960	1765	1341	1365	1609	1489	1684	1375	1027	1122	1759	1876	1402
YOR347C	XV	984942	986462	-	1521	766	721	706	994	792	880	1194	1012	1095	662	682	906
YOL157C	XV	22525	24294	-	1770	329	331	339	883	742	862	1137	965	976	210	223	244
YOL057W	XV	220767	222902	+	2136	8162	8350	7617	7820	7995	8301	7647	6600	6911	8513	9106	8849
YOR321W	XV	916030	918291	+	2262	5669	6320	5577	5842	5593	6227	7367	5971	6233	5046	5095	5533
YOR015W	XV	359993	360352	+	360	1063	1187	999	1147	1191	1197	1192	1008	994	1308	1092	1204
YOR111W	XV	530429	531127	+	699	1153	1119	1070	1717	1736	1923	1893	1573	1729	949	1112	1210
YOL008W	XV	310312	310935	+	624	1009	1006	970	1393	1320	1292	1472	1182	1237	1129	1149	983
YOR279C	XV	843698	844630	-	933	663	567	590	659	625	658	795	491	482	765	607	625
YOR394C-A	XV	1084202	1084369	-	168	2	0	0	2	0	0	14	8	11	0	1	0
YOR180C	XV	674352	675167	-	816	597	486	489	1425	1341	1393	1514	1160	1332	490	431	400
YOL055C	XV	224420	226075	-	1656	1406	1324	1127	3205	2869	3150	3664	2968	2933	916	1024	1085
snR5	XV	842403	842606	+	204	15863	19018	18180	1665	1445	1806	17788	17762	19302	2071	2135	2091
YOL139C	XV	60383	61024	-	642	36002	37585	35217	34377	33341	35347	31303	28161	30056	40642	42291	36914
YOR287C	XV	850937	851839	-	903	1932	1517	1617	1514	1481	1858	1301	869	944	1727	2252	1087
YOR198C	XV	718653	720065	-	1413	29636	30177	27388	27356	26990	28944	28059	22237	24298	33698	32133	30767
YOR053W	XV	427817	428158	+	342	0	9	5	3	1	5	14	7	21	7	1	0
YOL054W	XV	228614	229834	+	1221	1478	1041	1124	1086	1024	1286	981	703	643	889	1139	934
YOR012W	XV	356543	356956	+	414	352	346	290	257	258	261	553	442	460	125	142	84
YOL118C	XV	96608	96916	-	309	891	1102	1069	1190	993	934	3821	2882	3147	243	320	456
YOR034C	XV	394837	397086	-	2250	3286	3675	3175	4636	4667	4731	7022	5227	6059	3451	3532	2862
YOR374W	XV	1039840	1041399	+	1560	4948	4611	3859	4451	3739	4288	4994	3724	3455	3274	3181	5055
YOR018W	XV	364369	366882	+	2514	4847	5561	4233	4268	3948	4207	7465	6094	6682	4001	3259	3984
YOL084W	XV	162356	165331	+	2976	970	911	842	872	796	698	928	813	962	261	256	463
YOR314W	XV	903043	903372	+	330	77	52	53	382	464	389	235	282	316	19	34	15
YOR050C	XV	424270	424617	-	348	400	502	380	2559	2387	2761	2752	2135	2093	418	457	410
YOR391C	XV	1078545	1079258	-	714	51	42	19	63	49	37	148	139	136	7	16	9
YOR327C	XV	930734	931081	-	348	8855	9364	8490	7184	6940	7881	7716	6292	6418	8076	8087	9317
YOR352W	XV	997213	998244	+	1032	437	459	438	1602	1578	1571	1265	1084	1208	1246	1056	1252
YOR348C	XV	986899	988782	-	1884	212	215	230	168	153	153	373	230	252	124	185	131
YOL115W	XV	101475	103229	+	1755	4101	3921	3738	3148	3297	3578	3986	3144	3528	3907	3936	3226
YOR066W	XV	449436	451325	+	1890	1724	1579	1404	1699	1709	1932	1557	1237	1357	2086	2053	1608
YOR072W-A	XV	461791	462039	+	249	502	508	405	166	189	211	540	416	450	39	71	50
YOL096C	XV	138107	139045	-	939	2369	2354	2229	2585	2235	2393	3417	2743	2897	1822	1831	2101
tM(CAU)O2	XV	976421	976493	+	73	12	35	26	4	2	8	25	15	14	9	4	2
YOR020C	XV	370524	370844	-	321	18288	23607	19755	21888	19350	20341	30641	26865	28520	16009	16033	19138
YOR133W	XV	575098	577626	+	2529	246955	257675	232750	197787	214444	217979	227285	185190	206732	276228	274155	222008
YOR356W	XV	1007221	1009116	+	1896	5312	5269	4529	6918	7045	7425	5183	4215	4677	6757	6793	6957
YOR208W	XV	733925	736177	+	2253	3196	3534	3218	3197	2897	3219	3295	2323	2320	3084	2799	3698
YOR357C	XV	1009224	1009712	-	489	2829	3129	2723	2476	2357	2481	3589	2838	3048	1851	1868	2105
YOR277C	XV	841515	841823	-	309	3	1	1	0	0	0	0	0	0	0	0	0
YOR276W	XV	841333	841818	+	486	3990	4487	3870	3566	3650	3787	3923	3325	3802	4194	4453	3836
YOR247W	XV	797676	798308	+	633	2557	2247	1886	1625	1827	1762	1889	1295	1507	2276	2528	2209
snR50	XV	259489	259578	+	90	5858	6929	6888	226	235	246	6536	6045	6310	357	401	306
YOL047C	XV;XV	241614;242505	242441;242747	-;-	1071	801	774	679	769	650	689	1538	1291	1410	259	246	385
YOR221C	XV	756476	757558	-	1083	2596	2293	2199	2374	2161	2246	2900	2175	2258	2021	2017	2303
YOR344C	XV	977194	978069	-	876	12451	11460	10026	5960	6819	8132	11661	9690	10508	6919	7584	5752
YOR269W	XV	826385	827869	+	1485	1563	1248	1425	1651	1709	1731	1905	1474	1542	1698	1767	1274
YOR152C	XV	617518	618288	-	771	921	1186	990	2296	1907	2150	3851	3282	3413	783	809	894
YOR103C	XV	516449	516841	-	393	59	57	36	160	153	156	195	129	134	39	71	71
YOR377W	XV	1046226	1047803	+	1578	3564	3916	3397	7924	7577	8347	8231	6723	7522	5807	5459	4093
YOR129C	XV	566877	569558	-	2682	1558	1324	1205	1903	1930	1965	2262	1571	1721	1858	1791	1475
YOL038C-A	XV	254926	255021	-	96	281	312	399	336	359	413	732	534	491	176	207	233
YOR156C	XV	628360	630540	-	2181	1540	1552	1487	1267	1216	1451	2157	1591	1759	1414	1216	1165
YOR329C	XV	936731	939349	-	2619	3424	3621	3205	3088	2847	2967	4786	3567	3726	3369	2705	3291
YOR351C	XV	995018	996511	-	1494	491	563	530	567	576	579	1584	1429	1363	141	151	103
YOL040C	XV	253149	253577	-	429	134901	152296	133063	129150	138660	137856	125879	117708	124338	165591	165745	139031
YOL159C-A	XV	15233	15505	-	273	435	449	449	1667	1303	1550	2132	1933	1694	274	287	294
YOR051C	XV	424846	426084	-	1239	11775	11584	11269	11658	11073	12316	11732	10041	10709	15467	14774	12573
YOR003W	XV	331455	332891	+	1437	920	970	917	2527	1918	2262	3144	2413	2374	662	740	748
YOR064C	XV	446079	446738	-	660	1147	979	938	2488	2429	2454	2945	2402	2590	1044	1132	908
YOR073W	XV	464771	466543	+	1773	1070	953	839	1145	1223	1120	1195	823	971	1629	1516	1261
YOR201C	XV	720470	721708	-	1239	1328	1344	1134	1865	1746	1673	1740	1414	1355	1499	1567	1513
YOR065W	XV	447439	448368	+	930	2942	2917	2442	5543	4912	5315	5809	4570	5013	1903	1802	2010
YOR186W	XV	683111	683545	+	435	226	201	147	45	69	63	591	546	553	26	19	7
YOR045W	XV	413852	414037	+	186	4966	5919	5301	7258	7192	6796	6418	5634	6058	5963	7132	6676
YOL018C	XV	290881	292074	-	1194	3061	2767	2604	3050	2947	3273	3060	2414	2527	1966	2059	2146
YOL133W	XV	70325	70690	+	366	457	563	531	1549	1553	1516	1612	1499	1441	464	506	519
YOR087W	XV	487707	489734	+	2028	4270	4438	3935	4645	4494	4837	5003	4200	4531	3686	3447	4150
YOL028C	XV	270633	271370	-	738	1528	1460	1283	3191	3607	3778	3113	2636	2582	1639	1917	1508
YOL086C	XV	159548	160594	-	1047	500934	540850	505198	482474	488573	511706	527946	439875	459256	538542	617332	619907
YOL108C	XV	111431	111886	-	456	1034	930	849	2364	2023	2328	2629	1994	2135	775	955	852
YOL023W	XV	278056	280086	+	2031	1827	1577	1572	2133	1970	2283	2258	1713	1679	1594	1638	1696
YOR011W-A	XV	355652	355858	+	207	10	12	18	29	32	33	87	67	48	8	2	0
YOR165W	XV	644566	646896	+	2331	13808	13992	12818	12952	12922	13314	13019	11638	11743	13590	14426	12818
YOL068C	XV	200368	201879	-	1512	5257	5260	4829	14422	13973	15295	13691	11143	12229	5286	5693	5296
YOR138C	XV	584309	586324	-	2016	5531	5580	5178	4362	4012	4289	6576	4979	5601	3884	3784	3588
YOR016C	XV	360461	361084	-	624	3341	3572	3196	3452	3223	3285	3425	2845	3020	3468	3750	3227
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	74170	79418	73584	77518	80445	82471	73110	66958	70515	84664	88529	81506
YOL126C	XV	81787	82920	-	1134	4558	4496	4630	7837	10434	9099	7875	4477	4835	5679	5742	5038
YOR235W	XV	779870	780184	+	315	294	448	414	134	169	178	702	759	749	177	199	179
YOR080W	XV	474594	476792	+	2199	3211	3094	3099	5313	5064	5182	6105	4217	4530	3001	2779	2892
YOR169C	XV	651376	651840	-	465	2	0	2	2	0	0	1	0	0	1	0	0
YOR028C	XV	383533	384420	-	888	550	619	548	729	755	617	1099	1153	1215	827	761	526
YOR225W	XV	761392	761721	+	330	17	28	29	39	40	19	50	29	24	30	38	16
YOR108C-A	XV	524605	524814	-	210	0	0	0	0	0	0	0	0	0	0	0	0
YOR109W	XV	525278	528601	+	3324	11899	12365	11124	12258	11740	12962	12836	9915	10822	12457	12247	12008
YOL093W	XV	142815	143696	+	882	3588	3474	3083	4067	3954	4580	4384	3595	3669	3753	3900	3081
YOR147W	XV	606607	608475	+	1869	2810	2744	2306	2505	2555	2892	2480	1770	2037	2639	2865	2452
YOR218C	XV	751476	751895	-	420	3	4	6	11	9	11	8	8	17	17	13	7
YOR254C	XV	805032	807023	-	1992	26290	27254	25270	25608	25240	26431	25596	21468	22910	30644	31530	29055
YOL080C	XV	180558	181427	-	870	1311	1016	962	1001	1076	1197	671	592	638	1803	2003	949
YOR161W-B	XV	637975	638235	+	261	0	0	0	0	0	0	0	0	0	0	0	0
tY(GUA)O	XV;XV	288192;288245	288230;288280	+;+	75	10	6	4	4	2	1	2	10	11	3	2	4
YOR136W	XV	580250	581359	+	1110	12852	15034	14651	13344	12072	12468	22975	18245	19397	8231	7402	11404
tR(ACG)O	XV	340299	340371	-	73	21	15	6	0	0	6	12	18	30	0	4	0
YOR192C-C	XV	703988	704224	-	237	1979	2024	1767	2108	1668	2106	4219	2644	2855	1065	1186	1257
YOR205C	XV	725564	727234	-	1671	1618	1262	1350	3261	3108	3478	3184	2177	2286	1332	1677	1269
YOR200W	XV	720417	720815	+	399	0	0	0	0	0	0	0	0	0	0	0	0
YOR305W	XV	889022	889750	+	729	1614	1514	1582	5690	5261	5727	4706	3833	4221	1841	1959	1823
YOR195W	XV	712866	715331	+	2466	4068	3839	3592	3491	3394	3696	3261	2649	2500	4662	4415	4081
YOL123W	XV	87844	89448	+	1605	23296	24061	21160	19481	19331	19924	30406	26128	30047	23799	23651	17907
YOR097C	XV	506978	507505	-	528	1494	1627	1435	1783	1683	1681	2229	1842	1983	1074	1234	1418
YOL083C-A	XV	166461	166601	-	141	0	0	0	0	0	0	0	0	0	0	0	0
YOL086W-A	XV	159173	159445	+	273	1630	1901	1895	2205	2304	2269	2682	2717	2759	1108	1166	1366
YOR337W	XV	954344	956623	+	2280	1911	1690	1614	2900	3087	3454	2886	2041	2211	2154	2637	1704
YOL100W	XV	129237	132482	+	3246	2107	2135	1645	1987	1824	2283	2668	1982	2244	2182	1788	2063
YOR289W	XV	853357	854112	+	756	2288	2462	2395	2133	1953	2166	3515	3100	3284	868	1097	1305
YOR255W	XV	807271	808107	+	837	1	8	4	25	16	22	30	26	18	5	0	6
YOR304W	XV	884514	887876	+	3363	7174	7087	6699	6932	6240	7178	7423	5263	5570	7530	7546	7186
YOL163W	XV	9597	10106	+	510	213	131	127	1236	940	1156	1687	1122	1164	77	58	80
YOR077W	XV	471899	472597	+	699	539	589	563	945	989	965	1103	960	947	591	679	559
YOR074C	XV	466675	467589	-	915	2226	2208	2137	2269	2342	2684	2424	1811	1882	2050	2154	2341
YOR117W	XV	545029	546333	+	1305	21429	21488	19963	18223	18281	19981	22190	18796	19527	15878	18024	17322
YOR055W	XV	429478	429912	+	435	24	30	13	36	22	33	57	53	42	18	23	24
YOL166W-A	XV	585	740	+	156	0	0	2	0	0	0	0	4	0	0	0	0
YOL066C	XV	202696	204471	-	1776	3148	3166	2883	3533	3536	3715	5121	4002	4480	2491	2713	2338
YOR396W	XV	1085473	1090863	+	5391	9861	9467	8622	17911	17942	19219	16232	11792	12444	8212	8510	8365
YOR161C-C	XV	639121	639267	-	147	70	60	48	118	153	135	205	181	181	44	55	44
tV(AAC)O	XV	663812	663885	-	74	3	9	6	15	11	5	14	7	20	20	11	9
YOR151C	XV	612997	616671	-	3675	40991	42385	38205	38730	40291	42925	38333	31344	35122	47527	48619	43643
YOR187W	XV	684030	685343	+	1314	16596	17072	14703	15885	14723	15884	14633	11398	12251	17183	18167	19816
YOL001W	XV	325249	326130	+	882	1550	1596	1559	2735	2495	2544	3146	2646	2771	1262	1485	1154
YOR005C	XV	334509	337343	-	2835	3004	2815	2669	5169	4357	5204	6564	5205	5453	1706	1851	1764
YOR199W	XV	720181	720510	+	330	563	653	609	664	714	677	730	572	575	616	707	722
YOR355W	XV	1005137	1006705	+	1569	11885	11196	9686	9066	9200	10000	10264	8380	8859	11782	11199	11147
YOR290C	XV	855147	860258	-	5112	8365	8152	7486	6746	7792	7774	10074	6678	7020	9817	8757	8218
YOR396C-A	XV	1090015	1090497	-	483	0	0	0	0	0	0	0	0	0	0	0	0
YOR047C	XV	416347	417681	-	1335	3943	3720	3182	3487	3206	3630	3324	3128	3351	4264	3962	3662
YOL014W	XV	299693	300067	+	375	11618	8479	8752	17637	17541	21135	22329	17641	19737	6498	10046	5967
